>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
"Start Time","Station","Part","Operator","Elapsed","Product","Head Stack S/N","Disk Pack S/N","Device ID"
"8/18/2017 1:56:45 PM","GUZIK45","HD1-C32","Paul","00:00:17","","HAMR-GEN4","SA0067","77744"

"Date/Time","ZName","Zone Setup","Track #","Head #","Test Name","Head S/N","Iteration ID","Conf","TS_TFCSetup_AE_Sensor_dDEV","TS_TFCSetup_AE_Sensor_dDEV_RTDPower","TS_TFCSetup_AE_Sensor_dDEV_Th","TS_TFCSetup_AE_Sensor_DEV","TS_TFCSetup_AE_Sensor_DEV_RTDPower","TS_TFCSetup_AE_Sensor_DEV_Th","TS_TFCSetup_AE_Sensor_dNMC","TS_TFCSetup_AE_Sensor_dNMC_RTDPower","TS_TFCSetup_AE_Sensor_dNMC_Th","TS_TFCSetup_AE_Sensor_dRMS","TS_TFCSetup_AE_Sensor_dRMS_RTDPower","TS_TFCSetup_AE_Sensor_dRMS_Th","TS_TFCSetup_AE_Sensor_fdDEV","TS_TFCSetup_AE_Sensor_fdDEV_RTDPower","TS_TFCSetup_AE_Sensor_fdNMC","TS_TFCSetup_AE_Sensor_fdNMC_RTDPower","TS_TFCSetup_AE_Sensor_fdRMS","TS_TFCSetup_AE_Sensor_fdRMS_RTDPower","TS_TFCSetup_AE_Sensor_NMC","TS_TFCSetup_AE_Sensor_NMC_RTDPower","TS_TFCSetup_AE_Sensor_NMC_Th","TS_TFCSetup_AE_Sensor_RMS","TS_TFCSetup_AE_Sensor_RMS_RTDPower","TS_TFCSetup_AE_Sensor_RMS_Th","TS_TFCSetup_AEPowerRF0","TS_TFCSetup_AEPowerRF1","TS_TFCSetup_AEPowerRF2","TS_TFCSetup_AEPowerRF3","TS_TFCSetup_MaxPowerAtFreq","TS_TFCSetup_MaxPowerDelta","TS_TFCSetup_MechClearanceReader","TS_TFCSetup_MechClearanceWriter","TS_TFCSetup_R_TDownPower (mW)","TS_TFCSetup_R_TDownPowerIter (mW)","TS_TFCSetup_R_TDownVoltage (V)","TS_TFCSetup_R_TDownVoltage2","TS_TFCSetup_ReadTFCBO (mW)","TS_TFCSetup_ReadTFCBO_V1","TS_TFCSetup_ReadTFCBO_V2","TS_TFCSetup_TA_Sensor_A","TS_TFCSetup_TA_Sensor_A_RTDPower","TS_TFCSetup_TA_Sensor_A_Th","TS_TFCSetup_TA_Sensor_D","TS_TFCSetup_TA_Sensor_D_RTDPower","TS_TFCSetup_TA_Sensor_D_Th","TS_TFCSetup_TD_DetectedBy","TS_TFCSetup_TD_TFC_Power (mW)","TS_TFCSetup_TS_TFC_R (Ohm)","TS_TFCSetup_TS_TFC_R2","TS_TFCSetup_W_TDownPower (mW)","TS_TFCSetup_W_TDownVoltage (V)","TS_TFCSetup_W_TDownVoltage2","TS_TFCSetup_WriteTFCBO (mW)","TS_TFCSetup_WriteTFCBO_V1","TS_TFCSetup_WriteTFCBO_V2"
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,10.0,-1.62531509933188E-02,,,1.47797417318483,,,9.94150004129464E-03,,,-6.26729633487435E-02,,,-1.01335132182303E-02,,2.88827784068558E-03,,-1.53298300417044E-02,,0.438892765106916,,,16.2557291285391,,,,,,,,,,,,,,,,,,0,,,0,,,,82.0445028076647,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,11.0,-2.12971399247544E-02,,,1.43622091198348,,,-1.88877886508132E-03,,,4.02339300066669E-02,,,1.00680944255175E-03,,-3.74135702444935E-03,,1.27395369640592E-02,,0.435189794774562,,,16.3346081608722,,,,,,,,,,,,,,,,,,0,,,0,,,,83.0247579346178,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,12.0,-2.81273477580672E-02,,,1.38107674369396,,,-8.21276162641052E-03,,,-1.52897588102804E-02,,,2.18824331153646E-03,,-9.38685608240776E-03,,-9.27522155216359E-03,,0.419088528734698,,,16.3046323152933,,,,,,,,,,,,,,,,,,0,,,0,,,,84.0050206909655,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,13.0,4.28555860398406E-02,,,1.46509588652441,,,6.16517935598479E-03,,,7.47455497819953E-02,,,1.15599226052384E-02,,8.50030231922938E-03,,3.83177546204928E-02,,0.431175473115863,,,16.451172302338,,,,,,,,,,,,,,,,,,0,,,0,,,,84.9852758179186,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,14.0,3.51105997679826E-03,,,1.47197938239826,,,1.22283617204403E-02,,,-7.38451566662559E-02,,,6.83186202328193E-03,,1.27995819304843E-02,,-4.23245627269268E-02,,0.455149394952257,,,16.3063975520987,,,,,,,,,,,,,,,,,,0,,,0,,,,85.9655385742662,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,15.0,9.84739703942918E-03,,,1.49128538039803,,,-0.013741591833763,,,3.58251785332538E-02,,,-2.00778266488723E-03,,-4.1020180814127E-03,,7.68022677198356E-03,,0.428208758417145,,,16.3766334552855,,,,,,,,,,,,,,,,,,0,,,0,,,,86.9457937012194,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,16.0,-1.9233868310806E-03,,,1.48751454611919,,,3.22048628646104E-02,,,-8.18728094817652E-02,,,-0.020648328541558,,-6.47594580758649E-03,,-3.01389814812671E-02,,0.491346967992463,,,16.2161203481405,,,,,,,,,,,,,,,,,,0,,,0,,,,87.926056457567,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,17.0,2.15080449749249E-02,,,1.5331953481536,,,-4.82931070370631E-03,,,-2.19166843882952E-02,,,1.18550597844853E-02,,5.66205002284264E-03,,2.81807408525689E-03,,0.481090025231004,,,16.169571639415,,,,,,,,,,,,,,,,,,0,,,0,,,,89.0696874390123,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,18.0,-4.08470570126105E-02,,,1.44644053955724,,,-4.36445864939927E-02,,,1.45373854787549E-02,,,-1.50739006963202E-02,,-1.60631890673844E-03,,2.23722529638668E-02,,0.38839356128785,,,16.2004475013972,,,,,,,,,,,,,,,,,,0,,,0,,,,90.04995019536,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,19.0,6.54541006769813E-02,,,1.57476447446984,,,3.62458412697616E-02,,,4.04440685031146E-02,,,2.20161346940863E-02,,-3.01839174609165E-03,,3.00948111869232E-02,,0.459454181292499,,,16.279738820971,,,,,,,,,,,,,,,,,,0,,,0,,,,91.0302053223131,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,20.0,-3.48195553952054E-02,,,1.50650011342895,,,-5.05897610206378E-02,,,-2.86304782669152E-02,,,1.60120938805334E-03,,-1.30098722216043E-02,,-1.86122156041844E-02,,0.360272050099626,,,16.2236082563212,,,,,,,,,,,,,,,,,,0,,,0,,,,92.0104680786608,,,,,,,,
"8/18/17 1:56:45 PM","MD","Setup1",144200,1,"Production","C75L",0,21.0,7.6382587482778E-03,,,1.52147505630223,,,4.79986027522347E-02,,,3.37251334308916E-02,,,-5.8502265760298E-03,,1.52464345874477E-02,,-5.51314453392861E-03,,0.454374169168832,,,16.2897269835292,,,,,,,,,,,,,,,,,,0,,,0,,,,92.9907232056139,,,,,,,,
