>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
"Start Time","Station","Part","Operator","Elapsed","Product","Head Stack S/N","Disk Pack S/N","Device ID","Disk ID","Product"
"6/21/2017 3:24:47 PM","HAMR-DET5","WM68-F18-G2","1000134533","00:00:56","Astra_PA5275_A","2","E010R9J002","77508","E010R9J003","Astra_PA5275_A"

"ZName","Zone Setup","Track #","Head #","Head S/N","Iteration ID","Conf","TS_TFCSetup_AEPowerRF0","TS_TFCSetup_AEPowerRF1","TS_TFCSetup_AEPowerRF2","TS_TFCSetup_AEPowerRF3","TS_TFCSetup_AE_Sensor_DEV","TS_TFCSetup_AE_Sensor_DEV_RTDPower","TS_TFCSetup_AE_Sensor_DEV_Th","TS_TFCSetup_AE_Sensor_NMC","TS_TFCSetup_AE_Sensor_NMC_RTDPower","TS_TFCSetup_AE_Sensor_NMC_Th","TS_TFCSetup_AE_Sensor_RMS","TS_TFCSetup_AE_Sensor_RMS_RTDPower","TS_TFCSetup_AE_Sensor_RMS_Th","TS_TFCSetup_AE_Sensor_dDEV","TS_TFCSetup_AE_Sensor_dDEV_RTDPower","TS_TFCSetup_AE_Sensor_dDEV_Th","TS_TFCSetup_AE_Sensor_dNMC","TS_TFCSetup_AE_Sensor_dNMC_RTDPower","TS_TFCSetup_AE_Sensor_dNMC_Th","TS_TFCSetup_AE_Sensor_dRMS","TS_TFCSetup_AE_Sensor_dRMS_RTDPower","TS_TFCSetup_AE_Sensor_dRMS_Th","TS_TFCSetup_AE_Sensor_fdDEV","TS_TFCSetup_AE_Sensor_fdDEV_RTDPower","TS_TFCSetup_AE_Sensor_fdNMC","TS_TFCSetup_AE_Sensor_fdNMC_RTDPower","TS_TFCSetup_AE_Sensor_fdRMS","TS_TFCSetup_AE_Sensor_fdRMS_RTDPower","TS_TFCSetup_MaxPowerAtFreq","TS_TFCSetup_MaxPowerDelta","TS_TFCSetup_MechClearance (nm)","TS_TFCSetup_R_TDownPower (mW)","TS_TFCSetup_R_TDownPowerIter (mW)","TS_TFCSetup_R_TDownVoltage (V)","TS_TFCSetup_ReadTFCBO (mW)","TS_TFCSetup_ReadTFCBO_V (V)","TS_TFCSetup_TA_Sensor_A","TS_TFCSetup_TA_Sensor_A_RTDPower","TS_TFCSetup_TA_Sensor_A_Th","TS_TFCSetup_TA_Sensor_D","TS_TFCSetup_TA_Sensor_D_RTDPower","TS_TFCSetup_TA_Sensor_D_Th","TS_TFCSetup_TD_DetectedBy","TS_TFCSetup_TD_TFC_Power (mW)","TS_TFCSetup_TS_TFC_R (Ohm)","TS_TFCSetup_WriteTFCBO (mW)","TS_TFCSetup_WriteTFCBO_V (V)"
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,10,,,,,6.22690663458271E-02,,,0.220456165619861,,,0.798843151192987,,,2.31000876654378E-04,,,-6.4969625534501E-03,,,5.46908060178552E-04,,,1.73041742083138E-04,,-1.1238778020001E-03,,5.4555259761176E-04,,,,,,,,,,0,,,0,,,,40.0578727722168,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,11,,,,,6.83430005443902E-02,,,0.351936376418487,,,0.802508368029137,,,5.96258159942762E-04,,,8.34711316685603E-03,,,7.86701850040106E-04,,,3.43764871904679E-04,,3.26742520697217E-03,,3.92998473289649E-04,,,,,,,,,,0,,,0,,,,43.9803504943848,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,12,,,,,6.11868715007664E-02,,,0.321312815980459,,,0.797103728757536,,,-1.35132595897964E-04,,,1.25938697998852E-02,,,-2.17199952613465E-04,,,3.35217129089216E-04,,3.49110862158019E-03,,-5.74853151564428E-05,,,,,,,,,,0,,,0,,,,48.0662651062012,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,13,,,,,6.07095722930508E-02,,,0.26716958109074,,,0.791730748831394,,,-9.53179061299954E-04,,,-0.01058475061788,,,-1.34579125023555E-03,,,-3.2240178538577E-04,,-5.63068217314884E-03,,-4.95249398242327E-04,,,,,,,,,,0,,,0,,,,51.9887390136719,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,14,,,,,6.42417493774565E-02,,,0.238409664122823,,,0.797111127284881,,,3.81459749278255E-04,,,-1.03520391971462E-02,,,9.23847204390309E-07,,,-3.05867756910649E-04,,-9.17679621222835E-03,,-4.84906129740296E-04,,,,,,,,,,0,,,0,,,,56.0746536254883,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,15,,,,,5.62069850966683E-02,,,0.186831533502626,,,0.795798105105934,,,-5.62233593036561E-04,,,-1.00317322425866E-02,,,5.07886739924043E-04,,,-4.15077049812766E-04,,-4.74743414209833E-03,,-3.55959227954735E-04,,,,,,,,,,0,,,0,,,,59.9971313476563,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,16,,,,,6.16170201697747E-02,,,0.343167430567256,,,0.79041863529251,,,-3.34575412990634E-04,,,1.33535196200596E-02,,,-8.53094965275165E-04,,,-1.78660294303493E-04,,4.79702372496508E-03,,-2.26083497705737E-04,,,,,,,,,,0,,,0,,,,63.9196090698242,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,17,,,,,6.28287449319712E-02,,,0.3692940393599,,,0.793333266859189,,,8.26852576540591E-04,,,2.27839119573322E-02,,,-3.07781904775616E-04,,,4.12233851311093E-04,,8.86173271522611E-03,,1.73108830014018E-04,,,,,,,,,,0,,,0,,,,68.0055236816406,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,18,,,,,0.06057105148345,,,0.253444131158127,,,0.794479874485684,,,-1.306091958501E-04,,,-1.12036699932392E-02,,,5.0712338917064E-04,,,2.87404599072018E-04,,1.06806624954943E-03,,4.34170772536825E-04,,,,,,,,,,0,,,0,,,,71.9279937744141,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,19,,,,,6.26315743479906E-02,,,0.232676529042485,,,0.789321625892285,,,-2.462051852573E-05,,,-1.70593091312304E-02,,,-5.00930101997433E-04,,,2.27913671918032E-04,,-2.95369238350774E-03,,2.09605075301927E-04,,,,,,,,,,0,,,0,,,,76.0139083862305,,,
